,CODUBIGEO,IDPROV,CCDD
0,60504,0605,06
1,61105,0611,06
2,61109,0611,06
3,61110,0611,06
4,61203,0612,06
5,140103,1401,14
6,140106,1401,14
7,140107,1401,14
8,140108,1401,14
9,140114,1401,14
10,140115,1401,14
11,140116,1401,14
12,150201,1502,15
13,150806,1508,15
14,150902,1509,15
15,150903,1509,15
16,150904,1509,15
17,150905,1509,15
18,150202,1502,15
19,150204,1502,15
20,150205,1502,15
21,20301,0203,02
22,21206,0212,02
23,20502,0205,02
24,20503,0205,02
25,20505,0205,02
26,20506,0205,02
27,20507,0205,02
28,20511,0205,02
29,20512,0205,02
30,20513,0205,02
31,20514,0205,02
32,20515,0205,02
33,20105,0201,02
34,20305,0203,02
35,21809,0218,02
36,20901,0209,02
37,20902,0209,02
38,40608,0406,04
39,40408,0404,04
40,40409,0404,04
41,40410,0404,04
42,40412,0404,04
43,40413,0404,04
44,40506,0405,04
45,40507,0405,04
46,40508,0405,04
47,40509,0405,04
48,40510,0405,04
49,40511,0405,04
50,40512,0405,04
51,40513,0405,04
52,40705,0407,04
53,40706,0407,04
54,40801,0408,04
55,40802,0408,04
56,40803,0408,04
57,40804,0408,04
58,40805,0408,04
59,40806,0408,04
60,40807,0408,04
61,40810,0408,04
62,40811,0408,04
63,40504,0405,04
64,40115,0401,04
65,40119,0401,04
66,40120,0401,04
67,40121,0401,04
68,40122,0401,04
69,40123,0401,04
70,40124,0401,04
71,40125,0401,04
72,40127,0401,04
73,40128,0401,04
74,40201,0402,04
75,40202,0402,04
76,40203,0402,04
77,40204,0402,04
78,40205,0402,04
79,40206,0402,04
80,40207,0402,04
81,40208,0402,04
82,40103,0401,04
83,40104,0401,04
84,40111,0401,04
85,40113,0401,04
86,40116,0401,04
87,40118,0401,04
88,40302,0403,04
89,40305,0403,04
90,80108,0801,08
91,40101,0401,04
92,40102,0401,04
93,40129,0401,04
94,40110,0401,04
95,40112,0401,04
96,40117,0401,04
97,40107,0401,04
98,40109,0401,04
99,40126,0401,04
100,40704,0407,04
101,50510,0505,05
102,50410,0504,05
103,80911,0809,08
104,50411,0504,05
105,80912,0809,08
106,90720,0907,09
107,30108,0301,03
108,30601,0306,03
109,30104,0301,03
110,30605,0306,03
111,30105,0301,03
112,30216,0302,03
113,30208,0302,03
114,30602,0306,03
115,200301,2003,20
116,200402,2004,20
117,200305,2003,20
118,200405,2004,20
119,200410,2004,20
120,200404,2004,20
121,200105,2001,20
122,200101,2001,20
123,200206,2002,20
124,200403,2004,20
125,200401,2004,20
126,200104,2001,20
127,200501,2005,20
128,200202,2002,20
129,200504,2005,20
130,200506,2005,20
131,200208,2002,20
132,200603,2006,20
133,200204,2002,20
134,200607,2006,20
135,200207,2002,20
136,200205,2002,20
137,200111,2001,20
138,200201,2002,20
139,200703,2007,20
140,200203,2002,20
141,200209,2002,20
142,200604,2006,20
143,200210,2002,20
144,200701,2007,20
145,200704,2007,20
146,200705,2007,20
147,200706,2007,20
148,200602,2006,20
149,200702,2007,20
150,200115,2001,20
151,230111,2301,23
152,30610,0306,03
153,80913,0809,08
154,50412,0504,05
155,90721,0907,09
156,120609,1206,12
157,30609,0306,03
158,90722,0907,09
159,100113,1001,10
160,100607,1006,10
161,100704,1007,10
162,100705,1007,10
163,100608,1006,10
164,60605,0606,06
165,80902,0809,08
166,250202,2502,25
167,170301,1703,17
168,50505,0505,05
169,30611,0306,03
170,90723,0907,09
171,100609,1006,10
172,100610,1006,10
173,100603,1006,10
174,211105,2111,21
175,40514,0405,04
176,40701,0407,04
177,40702,0407,04
178,40502,0405,04
179,40105,0401,04
180,40106,0401,04
181,40108,0401,04
182,210502,2105,21
183,210405,2104,21
184,210404,2104,21
185,210504,2105,21
186,210403,2104,21
187,210402,2104,21
188,210505,2105,21
189,210407,2104,21
190,211303,2113,21
191,211302,2113,21
192,211307,2113,21
193,210401,2104,21
194,211305,2113,21
195,210106,2101,21
196,210703,2107,21
197,210701,2107,21
198,210202,2102,21
199,210903,2109,21
200,210607,2106,21
201,210210,2102,21
202,210205,2102,21
203,210808,2108,21
204,210101,2101,21
205,210114,2101,21
206,210109,2101,21
207,210110,2101,21
208,210115,2101,21
209,210104,2101,21
210,210709,2107,21
211,210103,2101,21
212,211102,2111,21
213,211103,2111,21
214,210108,2101,21
215,210107,2101,21
216,210105,2101,21
217,210904,2109,21
218,210702,2107,21
219,211101,2111,21
220,210902,2109,21
221,210707,2107,21
222,210605,2106,21
223,210901,2109,21
224,210606,2106,21
225,210601,2106,21
226,210704,2107,21
227,210706,2107,21
228,210608,2106,21
229,210710,2107,21
230,210203,2102,21
231,210206,2102,21
232,210214,2102,21
233,210708,2107,21
234,210705,2107,21
235,211003,2110,21
236,210213,2102,21
237,210602,2106,21
238,210804,2108,21
239,210215,2102,21
240,211004,2110,21
241,210809,2108,21
242,210803,2108,21
243,211001,2110,21
244,210801,2108,21
245,210201,2102,21
246,210204,2102,21
247,210805,2108,21
248,210208,2102,21
249,210807,2108,21
250,211002,2110,21
251,210211,2102,21
252,210212,2102,21
253,211202,2112,21
254,210209,2102,21
255,211204,2112,21
256,210806,2108,21
257,211005,2110,21
258,211201,2112,21
259,210802,2108,21
260,211206,2112,21
261,210306,2103,21
262,211208,2112,21
263,211207,2112,21
264,211205,2112,21
265,210302,2103,21
266,210301,2103,21
